error,scene,os_version,device_brand,device_model,device_type,failure_layer
java.lang.NullPointerException,Attempt to invoke interface method '<method>' on null object reference,10,google,pixel 2,physical,java
java.lang.NullPointerException,Attempt to invoke interface method '<method>' on null object reference,11,oppo,pbem00,physical,java
java.lang.NullPointerException,null cannot be cast to non-null <method>,11,realme,realme rmx3092,physical,java
java.lang.NullPointerException,Attempt to invoke interface method '<method>' on null object reference,8,honor,yal-al00,physical,java
java.lang.NullPointerException,Attempt to invoke interface method '<method>' on null object reference,6,huawei,clt-al01,physical,java
java.lang.NullPointerException,Attempt to invoke interface method '<method>' on null object reference,8,huawei,vce-al00,physical,java
java.lang.NullPointerException,Parameter specified as non-null is null: <method> ,8,oppo,oppo cph1907,physical,java
java.lang.NullPointerException,Parameter specified as non-null is null: <method> ,11,oppo,oppo cph1937,physical,java
java.lang.NullPointerException,null cannot be cast to non-null <method>,12,huawei,huawei hma-al00,physical,java
java.lang.NullPointerException,Attempt to invoke virtual method '<method>' on null object reference,10,alps,gemini,physical,java
java.lang.NullPointerException,Attempt to invoke interface method '<method>' on null object reference,11,google,pixel 2,physical,java
java.lang.NullPointerException,null cannot be cast to non-null <method>,11,huawei,huawei spn-al00,physical,java
java.lang.NullPointerException,null cannot be cast to non-null <method>,11,lge,lge lm-v409n,physical,java
java.lang.NullPointerException,null cannot be cast to non-null <method>,5,oppo,oppo pcpm00,physical,java
java.lang.NullPointerException,Attempt to invoke virtual method '<method>' on null object reference,10,realme,realme rmx3092,physical,java
java.lang.IllegalStateException,Nesting problem.,9,google,pixel 3,physical,java
java.lang.ClassNotFoundException,"Didn't find class ""<class>"" on path",8,oppo,pacm00,physical,java
java.lang.IllegalStateException,Nesting problem.,9,google,pixel 2,physical,java
java.lang.ClassNotFoundException,"Didn't find class ""<class>"" on path",10,xiaomi,mi 8,physical,java
java.lang.ClassNotFoundException,"Didn't find class ""<class>"" on path",11,google,pixel 4,physical,java
java.lang.ClassNotFoundException,"Didn't find class ""<class>"" on path",10,vivo,v1962a,physical,java
java.lang.OutOfMemoryError,Failed to allocate byte allocation with free bytes and until OOM ; failed due to fragmentation (largest possible contiguous allocation bytes),11,samsung,samsung sm-g9730,physical,java
java.lang.ClassNotFoundException,"Didn't find class ""<class>"" on path",10,google,pixel 4,physical,java
java.lang.ClassNotFoundException,"Didn't find class ""<class>"" on path",10,huawei,jer-an10,physical,java
java.lang.OutOfMemoryError,Failed to allocate byte allocation with free bytes and until OOM ,9,huawei,huawei ana-an00,physical,java
"signal 6, code -1",Abort Message: 'Check failed: found_virtual Didn't find oat method index for virtual method: java.lang.String[] android.icu.impl.ICUResourceBundle.getStringArray()',8,google,google pixel 2,physical,native
"signal 6, code -1",Abort Message: 'Check failed: found_virtual Didn't find oat method index for virtual method: java.lang.String[] android.icu.impl.ICUResourceBundle.getStringArray()',10,google,google pixel 3,physical,native
"signal 6, code -6",Abort Message: 'terminating with uncaught exception of type CustomException: Index: Size: ,10,xiaomi,xiaomi mi 8,physical,native
